Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (0.08435026606352435, 0.005113832848882075)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026605886692, 0.005113832898426579)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026609137992, 0.005113832844742448)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026607791532, 0.005113832835184668)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026605690679, 0.005113832866563027)   (rho_normalized calls: 357) 


Obj funtion: (0.07964678107759626, 0.007711796404471663)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678095777941, 0.0077117954173950305)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678099492375, 0.007711793302736358)   (rho_normalized calls: 273) 


Obj funtion: (0.07964677992753362, 0.007711797746559279)   (rho_normalized calls: 273) 


Obj funtion: (0.07964677997926309, 0.007711749839196414)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678133471335, 0.007711860989695117)   (rho_normalized calls: 273) 


Obj funtion: (0.07964677992317755, 0.007711793959776921)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678107572705, 0.007711796389422)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678107675574, 0.007711796389403332)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678109198048, 0.007711796393151727)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678110066452, 0.007711795169655164)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678113203075, 0.007711796102995824)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678109121585, 0.007711796355750188)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678108972445, 0.007711796490507119)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678108496163, 0.007711796472772895)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678104498539, 0.007711796395645884)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678122834154, 0.007711798308641765)   (rho_normalized calls: 273) 


Obj funtion: (0.0796467810487623, 0.0077117997953244175)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678107141478, 0.00771179661345749)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678107747081, 0.00771179640267952)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678107774824, 0.007711796415956566)   (rho_normalized calls: 273) 


Obj funtion: (0.0796467810789884, 0.007711796389779024)   (rho_normalized calls: 273) 


Obj funtion: (0.0796467810764355, 0.007711796238088904)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678107330692, 0.007711796331196742)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678107766075, 0.007711796408944021)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678107841663, 0.007711796414836531)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678107705706, 0.0077117963432563955)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678107373045, 0.007711796457300364)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678110254919, 0.007711796524763597)   (rho_normalized calls: 273) 


Obj funtion: (0.07964678109568628, 0.007711795857282671)   (rho_normalized calls: 273) 


Obj funtion: (0.0796467810708917, 0.0077117963947880355)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135387318957, 0.007484031000735499)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135375407431, 0.007484031089919256)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135317450432, 0.007484030615866487)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135383875248, 0.007484031170066867)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135423737039, 0.007484030824172969)   (rho_normalized calls: 273) 


Obj funtion: (0.0706713525616732, 0.00748403089985539)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135280051556, 0.007484030973020065)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135387134366, 0.00748403100211756)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135387911196, 0.007484031013551372)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135388595981, 0.007484031011343014)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135389682182, 0.007484031012523469)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135393361149, 0.007484031001599719)   (rho_normalized calls: 273) 


Obj funtion: (0.0706713538851099, 0.007484030994412336)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135388517495, 0.00748403099176183)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135384884372, 0.007484030940027574)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135383782577, 0.007484030969856047)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135400081703, 0.0074840309674353515)   (rho_normalized calls: 273) 


Obj funtion: (0.0706713537691091, 0.007484030993225604)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135386569456, 0.007484030989648869)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135387306432, 0.007484031000829271)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135387361863, 0.0074840310010550765)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135387358853, 0.007484031000710477)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135387303722, 0.007484031001660655)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135386830974, 0.007484030999664456)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135387327098, 0.007484031000594929)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135387401115, 0.007484031000120394)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135387138739, 0.007484030999691709)   (rho_normalized calls: 273) 


