distance_m,x_m,y_m
273.0000,270.2076,4.1240
273.5000,270.7084,4.1090
274.0000,271.2068,4.0999
274.5000,271.7032,4.0964
275.0000,272.1994,4.0982
275.5000,272.6959,4.1049
276.0000,273.1937,4.1154
276.5000,273.6944,4.1285
277.0000,274.2002,4.1449
277.5000,274.6826,4.1662
278.0000,275.1697,4.1959
278.5000,275.6656,4.2362
279.0000,276.1713,4.2887
279.5000,276.6876,4.3547
280.0000,277.1654,4.4268
280.5000,277.6419,4.5091
281.0000,278.1273,4.6030
281.5000,278.6215,4.7083
282.0000,279.1243,4.8248
282.5000,279.6299,4.9505
283.0000,280.0953,5.0730
283.5000,280.5669,5.2030
284.0000,281.0444,5.3399
284.5000,281.5275,5.4830
285.0000,282.0157,5.6316
285.5000,282.5087,5.7848
286.0000,282.9842,5.9349
286.5000,283.4552,6.0852
287.0000,283.9292,6.2374
287.5000,284.4058,6.3908
288.0000,284.8847,6.5447
288.5000,285.3654,6.6983
289.0000,285.8476,6.8510
289.5000,286.3271,7.0009
290.0000,286.8070,7.1485
290.5000,287.2874,7.2932
291.0000,287.7678,7.4346
291.5000,288.2479,7.5721
292.0000,288.7276,7.7054
292.5000,289.2079,7.8343
293.0000,289.6987,7.9611
293.5000,290.1884,8.0825
294.0000,290.6768,8.1983
294.5000,291.1638,8.3085
295.0000,291.6494,8.4132
295.5000,292.1337,8.5125
296.0000,292.6218,8.6078
296.5000,293.1151,8.6996
297.0000,293.6076,8.7875
297.5000,294.0995,8.8721
298.0000,294.5913,8.9545
298.5000,295.0835,9.0360
299.0000,295.5767,9.1176
299.5000,296.0657,9.1979
300.0000,296.5561,9.2767
300.5000,297.0484,9.3534
301.0000,297.5431,9.4272
301.5000,298.0401,9.4977
302.0000,298.5396,9.5644
302.5000,299.0372,9.6264
303.0000,299.5289,9.6831
303.5000,300.0231,9.7356
304.0000,300.5199,9.7838
304.5000,301.0190,9.8277
305.0000,301.5205,9.8674
305.5000,302.0243,9.9032
306.0000,302.5233,9.9347
306.5000,303.0196,9.9627
307.0000,303.5175,9.9876
307.5000,304.0169,10.0098
308.0000,304.5176,10.0297
308.5000,305.0194,10.0478
309.0000,305.5220,10.0644
309.5000,306.0229,10.0800
310.0000,306.5231,10.0950
310.5000,307.0234,10.1100
311.0000,307.5237,10.1255
311.5000,308.0236,10.1419
312.0000,308.5231,10.1597
312.5000,309.0217,10.1795
313.0000,309.5238,10.2018
