Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (0.07116458570788557, 0.00745591422967979)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458594452467, 0.007455914299882179)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458702293908, 0.00745591432844129)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458703014679, 0.007455914339613714)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458703754695, 0.007455914338116245)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458704914781, 0.007455914339294686)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458708518755, 0.007455914327886086)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458703688816, 0.007455914320677484)   (rho_normalized calls: 273) 


Obj funtion: (0.0711645870369622, 0.007455914317941911)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458700292681, 0.007455914267702792)   (rho_normalized calls: 273) 


Obj funtion: (0.0711645869896209, 0.007455914294321666)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458715006807, 0.007455914291865608)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458692174808, 0.007455914319507782)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458701747327, 0.007455914315806255)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458702468258, 0.00745591432713589)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458702521923, 0.0074559143273742546)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458702528594, 0.007455914327052817)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458702462744, 0.0074559143279723464)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458701993945, 0.007455914325968714)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458702488838, 0.007455914326898327)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458702563928, 0.0074559143264196015)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458702306629, 0.007455914325961968)   (rho_normalized calls: 273) 


Obj funtion: (0.0711645870233145, 0.007455914326643811)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458704553467, 0.007455914325421719)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458704816893, 0.007455914314007924)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458701854057, 0.007455914346373186)   (rho_normalized calls: 273) 


Obj funtion: (0.06578347816079975, 0.009372926842982975)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347810597247, 0.009372926871264481)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347737220923, 0.009372926275317184)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347870791387, 0.009372927431761208)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347882175263, 0.009372926854423421)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347696129906, 0.009372926370727043)   (rho_normalized calls: 315) 


Obj funtion: (0.0657834771860595, 0.009372926572404766)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347816000546, 0.009372926843350192)   (rho_normalized calls: 315) 


